A	TMO	0.931926211
AAL	DAL	0.572963496
AAP	ORLY	0.959137991
AAPL	UNP	0.482918501
ABBV	AMGN	0.936860164
ABC	CAH	0.76783177
ABT	HOLX	0.898126796
ABT	MDT	0.895414444
ABT	TMO	0.832810135
ABT	VAR	0.949732004
ACN	CTSH	0.911816139
ACN	FISV	0.871876564
ACN	ORCL	0.920391838
ACN	RHT	0.971940752
ADBE	CRM	0.960789733
ADBE	INTU	0.937387918
ADI	TXN	0.721527154
ADI	XLNX	0.853814837
ADM	PFG	0.987776957
ADP	PAYX	0.735555636
ADS	DFS	0.95252225
ADSK	MCO	0.972946527
AEE	XEL	0.518845762
AEP	DUK	0.532632524
AEP	ETR	0.647580145
AEP	FE	0.737404865
AEP	PPL	0.66931133
AEP	XEL	0.489807845
AES	CNP	0.927455706
AES	NRG	0.969912889
AET	ANTM	0.684472115
AET	CNC	1.157943995
AET	HUM	0.854431304
AET	UNH	0.727102544
AFL	PRU	0.7704596
AGN	AMGN	0.989534836
AGN	MYL	1.06225478
AIG	JPM	0.751108251
AIV	REG	0.726236376
AIV	UDR	0.567281218
AIZ	BRK.B	0.960436731
AIZ	HRL	1.06338919
AJG	MMC	0.734207936
AKAM	TEL	1.059813446
ALB	EMN	0.933399992
ALK	DAL	1.088265691
ALL	CINF	0.827368622
ALLE	AYI	1.066317589
ALLE	FISV	0.887138945
ALXN	AMGN	0.956436548
AMAT	LRCX	0.740083721
AMD	MCHP	1.13322253
AME	ITW	0.791442953
AME	ROP	0.809429348
AMG	IVZ	0.624586186
AMG	TDC	1.025005583
AMGN	BIIB	0.941875863
AMGN	BMY	1.03261756
AMGN	CAH	0.958104726
AMGN	CELG	1.059674369
AMGN	GILD	0.941884252
AMGN	INCY	0.954032736
AMGN	PFE	0.902853971
AMGN	REGN	0.863545309
AMGN	TMO	0.896503338
AMGN	VRTX	1.009204908
AMP	IVZ	0.618657341
AMP	LNC	0.628832172
AMP	NAVI	0.925813628
AMT	CCI	0.789260119
AMT	PLD	0.878257643
AMZN	GOOGL	0.905103048
AN	BBBY	0.982104399
AN	BWA	0.9574202
AN	KMX	0.824950162
ANTM	CI	0.774775431
AON	MMC	0.625669068
APA	MRO	0.692473406
APC	DVN	0.646496434
APC	NBL	0.703316309
APD	PX	0.854129094
APH	MCHP	1.014406162
ARE	FRT	0.752609172
ARNC	LYB	1.194492123
ATVI	EA	0.98326322
ATVI	FISV	1.055888977
AVB	EQR	0.617478359
AVB	ESS	0.504908983
AVB	UDR	0.534086105
AVGO	SWKS	0.752655774
AVGO	TXN	0.820644451
AVY	IP	0.947362416
AVY	SEE	0.943516766
AWK	PNW	0.699728273
AXP	DFS	0.824191174
AZO	ORLY	0.726487402
BA	TXT	0.878502904
BAC	C	0.466114247
BAX	MAS	1.108559119
BBBY	BBY	1.026871203
BBBY	SBUX	1.207452781
BBBY	SPLS	1.080071372
BBT	COF	0.711508914
BBT	HBAN	0.545385448
BBT	MTB	0.532737342
BBT	STI	0.46475124
BCR	SYK	0.859617933
BDX	SYK	0.841858794
BEN	IVZ	0.634922993
BEN	TROW	0.635526843
BF.B	EL	1.196408369
BHI	HAL	0.722726527
BK	NTRS	0.542171634
BK	STT	0.597132352
BLK	GRMN	1.042684255
BLK	IVZ	0.64202661
BLK	LVLT	0.973074828
BLK	MSI	1.036720732
BLL	ITW	0.985395005
BRK.B	DIS	0.955528704
BRK.B	IBM	0.931106041
BRK.B	JNJ	0.887807879
BRK.B	MMC	0.707038977
BRK.B	NDAQ	0.912897904
BRK.B	USB	0.702691916
BSX	SYK	0.958554424
BWA	DLPH	0.724769509
BWA	F	0.846732705
BWA	GT	0.911443122
BXP	KIM	0.683108877
BXP	SLG	0.630239778
BXP	VNO	0.6225773
C	JPM	0.46932475
C	MS	0.52629356
C	NTRS	0.591866561
C	PRU	0.599966598
CA	ITW	0.899615066
CA	SYMC	1.044198796
CAG	MNST	0.802336209
CAG	PEP	1.035928196
CAH	CVS	1.031792643
CAH	MCK	0.716829458
CAT	CMI	0.776067138
CAT	DE	0.937714463
CAT	FCX	0.915851284
CAT	PH	0.759578139
CB	TRV	0.65153092
CB	XL	0.88695323
CBG	IVZ	0.80436915
CBG	WY	0.940375355
CBOE	CME	0.973167129
CBS	FOX	0.952655973
CBS	SNI	0.907897652
CBS	TGNA	0.97682861
CBS	TWX	0.986129262
CCL	CHD	1.24679052
CCL	DAL	0.991275847
CCL	MAR	0.957494267
CCL	RCL	0.625666582
CERN	DGX	1.065094195
CF	MOS	1.23634005
CHK	DVN	0.862003006
